id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,lineupStatus,byeWeek
ec6b12ce-ff7d-42ab-b317-6570c6960ed4,Dameon,Pierce,110.8,49.6,RB31,RB,Houston Texans,,
8e3cd1bf-c46b-4380-a37c-f019644e80b6,Chris,Olave,111,132.4,WR43,WR,New Orleans Saints,,
f0b9d8d9-c993-41c7-ab1e-53fd91e6e23f,Rashaad,Penny,114.4,145.9,RB32,RB,Seattle Seahawks,,
cc43cb72-2354-4c52-b05f-d0f56e985577,Devin,Singletary,115.6,154.7,RB33,RB,Buffalo Bills,,
852af530-8417-4e44-aeb7-3423fa419ebf,Dawson,Knox,115.6,138.9,TE9,TE,Buffalo Bills,,
bc0335ac-8d73-4469-8493-ebac8be09b07,Zach,Ertz,116.2,114.2,TE10,TE,Arizona Cardinals,,
266f6141-a47e-4c0b-b9a5-5c5fe0897693,Damien,Harris,116.8,151.8,RB34,RB,New England Patriots,,
3221d393-2199-4983-9862-db69ae0b0737,Kareem,Hunt,119.6,142.9,RB35,RB,Cleveland Browns,,
f53c0cdd-04ea-478c-bad2-834b7d43a9ae,Kenneth,Walker,119.8,100,RB36,RB,Seattle Seahawks,,
7b08948e-7d27-4d24-a2ee-80beeb45811b,James,Cook,121,44.5,RB37,RB,Buffalo Bills,,
b319ac16-72cc-4be2-b92b-c6e00c844739,Skyy,Moore,122,51.4,WR44,WR,Kansas City Chiefs,,
ad36c447-4dd2-49eb-a65f-b69b03f4545b,Treylon,Burks,123.2,71.6,WR45,WR,Tennessee Titans,,
519c5610-2ad4-4f31-aaf7-b62659533e62,Mitch,Trubisky,124.8,171.2,QB31,QB,Pittsburgh Steelers,,
c1b86155-082e-4466-a341-3d0d3ce018c9,Marquez,Valdes-Scantling,124.8,160.9,WR46,WR,Kansas City Chiefs,,
aa34615d-4a65-4c42-94b4-918ad43daae9,Tyler,Lockett,125,174.7,WR47,WR,Seattle Seahawks,,
03a16ef1-7596-4c7c-a7e5-7a0bfe547732,Cole,Kmet,125.4,84.9,TE11,TE,Chicago Bears,,
9e8f3071-1633-4db0-b319-aedf80f8aae0,Robert,Woods,129.6,148.6,WR48,WR,Tennessee Titans,,
82c0424c-53ae-4fbb-af03-87436e64a958,Melvin,Gordon,130,120,RB38,RB,Denver Broncos,,
a6c8ebfe-6827-470f-8c16-808420df158b,Cordarrelle,Patterson,131,137.8,RB39,RB,Atlanta Falcons,,
79955fef-b567-47ab-9d0a-e8039ad99995,Russell,Gage,131.4,124.3,WR49,WR,Tampa Bay Buccaneers,,
639b384a-9748-4eca-83a3-b8d77aee09ec,Rondale,Moore,133.8,105.9,WR50,WR,Arizona Cardinals,,
a4360614-4bb6-4c84-9fae-6dfc3dc03d58,Pat,Freiermuth,135,120,TE12,TE,Pittsburgh Steelers,,
ec7b29cb-d15d-4956-91f2-1d48fc68c97d,Mike,Gesicki,135.8,120.1,TE13,TE,Miami Dolphins,,
beecaae6-4e6d-4dd0-8e61-f8c45d2a0547,Brian,Robinson,136,111.3,RB40,RB,Washington Commanders,,
037e006b-44a3-4e5e-b958-8808bb2d4f88,Chase,Claypool,137,132.3,WR51,WR,Pittsburgh Steelers,,
dd646757-6c56-4def-8dac-8a8a36dfd4bf,Garrett,Wilson,138,69.1,WR52,WR,NY Jets,,
131adb06-118e-4968-9e61-73a37352c391,Darrell,Henderson,138.6,112.7,RB41,RB,Los Angeles Rams,,
3844965a-a3da-4d1f-b90a-4635fe7df32c,George,Pickens,139.8,76,WR53,WR,Pittsburgh Steelers,,
cc7f8dd6-9507-4593-b15c-1e46148d135d,Nyheim,Hines,140,79.8,RB42,RB,Indianapolis Colts,,
7bf9f1e8-505c-499f-b5d0-93046918f28d,Kenneth,Gainwell,140,60.5,RB42,RB,Philadelphia Eagles,,
b2e66ea5-fe0e-4b4b-9fce-21f01c9c7c03,James,Robinson,141.2,121.5,RB44,RB,Jacksonville Jaguars,,
ea62fc16-84e1-4e0e-b697-359e2a34622f,Tyler,Boyd,141.2,101.9,WR54,WR,Cincinnati Bengals,,
822dd551-c6a2-465c-aa2d-4b097811d3c2,Alexander,Mattison,143.6,88.2,RB45,RB,Minnesota Vikings,,
e24cda27-0ce7-4913-a590-b7107243dda8,Albert,Okwuegbunam,144.4,64.7,TE14,TE,Denver Broncos,,
c7080db1-6bbe-4938-b76b-3ec7f65364de,Jacoby,Brissett,145.2,102.6,QB32,QB,Cleveland Browns,,
3c83380b-4ab4-4085-a754-02c901c51843,Rachaad,White,145.4,59.2,RB46,RB,Tampa Bay Buccaneers,,
abdd9229-85c8-4ace-8652-c6b3e907cb4c,Jalen,Tolbert,145.8,81,WR55,WR,Dallas Cowboys,,
f79769ba-3f81-4b3c-b515-2d3a004029a0,Hunter,Henry,148.8,105.5,TE15,TE,New England Patriots,,
8e65c194-cab6-4dc5-9f92-a79b6f6aa95d,Irv,Smith,150.2,113.1,TE16,TE,Minnesota Vikings,,
4317b643-a7ce-44dd-b900-91f16b1cb5d4,Khalil,Herbert,151,51.6,RB47,RB,Chicago Bears,,
165eb394-2915-48de-a6fc-1e27fc60bfe6,Julio,Jones,151.8,94.7,WR56,WR,Tampa Bay Buccaneers,,
b97da06f-079e-412c-8ce9-a79e6b52bb72,Jimmy,Garoppolo,152.2,112.8,QB33,QB,San Francisco 49ers,,
3bb0d6b4-56b1-4aa8-9160-8951b310b39b,Isaiah,Spiller,154.2,124.6,RB48,RB,Los Angeles Chargers,,
58929cc8-fba4-401c-b677-ba0b7e154027,Joshua,Palmer,154.2,89.8,WR57,WR,Los Angeles Chargers,,
ff1e0de7-c694-4c71-acdc-403600a75448,Michael,Gallup,155,121.4,WR58,WR,Dallas Cowboys,,
dca0e01e-acac-458e-9515-1433863e9175,Kenny,Pickett,155.8,64.6,QB34,QB,Pittsburgh Steelers,,
d7f881bb-e8bb-4d01-a215-2e95a17be271,Isiah,Pacheco,155.8,0,RB49,RB,Kansas City Chiefs,,
2f909405-4095-4294-b074-09440cd7e47f,Kenny,Golladay,156.8,104.8,WR59,WR,NY Giants,,
8fc7f3e7-dfd4-4a02-b3ec-eb1ea684a1a0,Romeo,Doubs,158.2,65.1,WR60,WR,Green Bay Packers,,
28b849d9-355c-4d11-8c9d-85fb0c0899c4,Jahan,Dotson,160.2,83.5,WR61,WR,Washington Commanders,,
9d9c1b98-02e5-497a-9147-b0d1171d667a,Michael,Carter,160.4,166.8,RB50,RB,NY Jets,,
b0754f5a-cbe9-40f7-8a36-c4895076b45a,Tyler,Allgeier,160.8,23.1,RB51,RB,Atlanta Falcons,,
f649989c-000a-44b6-b3eb-ec6abec1078b,Mecole,Hardman,161.4,87.5,WR62,WR,Kansas City Chiefs,,
47114df6-0868-4801-b168-2d1c8a1fa779,Jakobi,Meyers,163.4,106.7,WR63,WR,New England Patriots,,
f8ccec6a-381b-4106-9732-aec565c56586,David,Njoku,163.6,107.2,TE17,TE,Cleveland Browns,,
bbd97f19-c0f0-4d1a-8cd9-cfbef9a1d2fc,DJ,Chark,165.2,107.5,WR64,WR,Detroit Lions,,
04b3124f-5310-42eb-a8b5-b7492a17cdf4,Isaiah,McKenzie,165.4,84.6,WR65,WR,Buffalo Bills,,
0b8f3016-1014-4305-ae61-227ec7dc4669,DeVante,Parker,165.8,138.7,WR66,WR,New England Patriots,,
1e96a5fb-5e31-4537-a6d1-725a1b2ec026,Nico,Collins,167,79,WR67,WR,Houston Texans,,
3d6380f8-469a-4c30-945e-1a0c13608250,K.J.,Osborn,169.6,83.4,WR68,WR,Minnesota Vikings,,
f7965fa8-e770-4195-8c35-a8512fbaaa6a,Zamir,White,171,89.3,RB52,RB,Las Vegas Raiders,,
cef28574-8c6c-40c9-8033-953be4f3d139,Jamaal,Williams,172,95.7,RB53,RB,Detroit Lions,,
a40c6d93-4ed7-4a71-b5a6-6fc5120bc3ce,Jarvis,Landry,172.4,115.2,WR69,WR,New Orleans Saints,,
e17eb75b-023e-4b9e-83f6-ab5efd295f3d,Christian,Watson,172.6,56.5,WR70,WR,Green Bay Packers,,
b38dbd9b-318e-4923-aa3a-340b23425754,Jameson,Williams,173.8,129.5,WR71,WR,Detroit Lions,,
c652af35-bd2c-4502-884d-bcbc3178d60f,Robert,Tonyan,179.8,94.7,TE18,TE,Green Bay Packers,,
ae1c4c8b-baca-4459-a6d0-61ed616aad02,Hayden,Hurst,179.8,65.4,TE18,TE,Cincinnati Bengals,,
4c4955dd-5449-4468-9a5b-839707a8b6c2,Tyler,Higbee,180,104.6,TE20,TE,Los Angeles Rams,,
88b65869-55a3-4178-8556-51eb76e63b0f,Robbie,Anderson,180,94.3,WR72,WR,Carolina Panthers,,
04f4fc0d-431c-44bc-ac69-d97ad6d783c8,Alec,Pierce,180.2,67.2,WR73,WR,Indianapolis Colts,,
65ea7368-652f-40ee-b25a-797c91e7e341,Evan,Engram,180.8,79.5,TE21,TE,Jacksonville Jaguars,,
c25697c5-5108-40ec-8072-87a93f59b65c,Raheem,Mostert,183.4,80.2,RB54,RB,Miami Dolphins,,
546eeca7-670c-44b9-920a-0916dcb30418,Gerald,Everett,184.2,72.1,TE22,TE,Los Angeles Chargers,,
d5571db1-074f-49b6-9901-b320b61d2abc,Wan'Dale,Robinson,184.2,58.5,WR74,WR,NY Giants,,
fbcd9e12-2849-4362-a9ec-1e108822eca6,Desmond,Ridder,186.2,48.4,QB35,QB,Atlanta Falcons,,
8d0c47d0-f468-41db-9b4b-f4b951bfa6ef,Tyrion,Davis-Price,187.2,20,RB55,RB,San Francisco 49ers,,
